COG,Name,Ocean core,Ocean core (prokaryotes),Gut core,Ocean core (epipelagic),Ocean core (mesopelagic)
COG0035,Uracil phosphoribosyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0036,Pentose-5-phosphate-3-epimerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0037,Predicted ATPase of the PP-loop superfamily implicated in cell cycle control,TRUE,TRUE,TRUE,TRUE,TRUE
COG0038,Chloride channel protein EriC,TRUE,TRUE,TRUE,TRUE,TRUE
COG0039,Malate/lactate dehydrogenases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0040,ATP phosphoribosyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0041,Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0042,tRNA-dihydrouridine synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0043,3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0044,Dihydroorotase and related cyclic amidohydrolases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0045,"Succinyl-CoA synthetase, beta subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0046,"Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain",TRUE,TRUE,TRUE,TRUE,TRUE
COG0047,"Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain",TRUE,TRUE,TRUE,TRUE,TRUE
COG0048,Ribosomal protein S12,TRUE,TRUE,TRUE,TRUE,TRUE
COG0049,Ribosomal protein S7,TRUE,TRUE,TRUE,TRUE,TRUE
COG0050,GTPases - translation elongation factors,TRUE,TRUE,TRUE,TRUE,TRUE
COG0051,Ribosomal protein S10,TRUE,TRUE,TRUE,TRUE,TRUE
COG0052,Ribosomal protein S2,TRUE,TRUE,TRUE,TRUE,TRUE
COG0053,Predicted Co/Zn/Cd cation transporters,TRUE,TRUE,TRUE,TRUE,TRUE
COG0054,Riboflavin synthase beta-chain,TRUE,TRUE,TRUE,TRUE,TRUE
COG0055,"F0F1-type ATP synthase, beta subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0056,"F0F1-type ATP synthase, alpha subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0057,Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0058,Glucan phosphorylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0059,Ketol-acid reductoisomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0060,Isoleucyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0061,Predicted sugar kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0062,Uncharacterized conserved protein,TRUE,TRUE,TRUE,TRUE,TRUE
COG0063,Predicted sugar kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0064,Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog),TRUE,TRUE,TRUE,TRUE,TRUE
COG0065,3-isopropylmalate dehydratase large subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0066,3-isopropylmalate dehydratase small subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0067,Glutamate synthase domain 1,TRUE,TRUE,TRUE,TRUE,TRUE
COG0068,Hydrogenase maturation factor,TRUE,TRUE,TRUE,TRUE,TRUE
COG0069,Glutamate synthase domain 2,TRUE,TRUE,TRUE,TRUE,TRUE
COG0070,Glutamate synthase domain 3,TRUE,TRUE,TRUE,TRUE,TRUE
COG0071,Molecular chaperone (small heat shock protein),TRUE,TRUE,TRUE,TRUE,TRUE
COG0072,Phenylalanyl-tRNA synthetase beta subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0073,EMAP domain,TRUE,TRUE,TRUE,TRUE,TRUE
COG0074,"Succinyl-CoA synthetase, alpha subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0075,Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0076,Glutamate decarboxylase and related PLP-dependent proteins,TRUE,TRUE,TRUE,TRUE,TRUE
COG0077,Prephenate dehydratase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0078,Ornithine carbamoyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0079,Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0080,Ribosomal protein L11,TRUE,TRUE,TRUE,TRUE,TRUE
COG0081,Ribosomal protein L1,TRUE,TRUE,TRUE,TRUE,TRUE
COG0082,Chorismate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0083,Homoserine kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0084,Mg-dependent DNase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0085,"DNA-directed RNA polymerase, beta subunit/140 kD subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0086,"DNA-directed RNA polymerase, beta' subunit/160 kD subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0087,Ribosomal protein L3,TRUE,TRUE,TRUE,TRUE,TRUE
COG0088,Ribosomal protein L4,TRUE,TRUE,TRUE,TRUE,TRUE
COG0089,Ribosomal protein L23,TRUE,TRUE,TRUE,TRUE,TRUE
COG0090,Ribosomal protein L2,TRUE,TRUE,TRUE,TRUE,TRUE
COG0091,Ribosomal protein L22,TRUE,TRUE,TRUE,TRUE,TRUE
COG0092,Ribosomal protein S3,TRUE,TRUE,TRUE,TRUE,TRUE
COG0093,Ribosomal protein L14,TRUE,TRUE,TRUE,TRUE,TRUE
COG0094,Ribosomal protein L5,TRUE,TRUE,TRUE,TRUE,TRUE
COG0095,Lipoate-protein ligase A,TRUE,TRUE,TRUE,TRUE,TRUE
COG0096,Ribosomal protein S8,TRUE,TRUE,TRUE,TRUE,TRUE
COG0097,Ribosomal protein L6P/L9E,TRUE,TRUE,TRUE,TRUE,TRUE
COG0098,Ribosomal protein S5,TRUE,TRUE,TRUE,TRUE,TRUE
COG0099,Ribosomal protein S13,TRUE,TRUE,TRUE,TRUE,TRUE
COG0100,Ribosomal protein S11,TRUE,TRUE,TRUE,TRUE,TRUE
COG0101,Pseudouridylate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0102,Ribosomal protein L13,TRUE,TRUE,TRUE,TRUE,TRUE
COG0103,Ribosomal protein S9,TRUE,TRUE,TRUE,TRUE,TRUE
COG0104,Adenylosuccinate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0105,Nucleoside diphosphate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0106,Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0107,Imidazoleglycerol-phosphate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0108,"3,4-dihydroxy-2-butanone 4-phosphate synthase",TRUE,TRUE,TRUE,TRUE,TRUE
COG0109,Polyprenyltransferase (cytochrome oxidase assembly factor),TRUE,TRUE,FALSE,TRUE,TRUE
COG0110,Acetyltransferase (isoleucine patch superfamily),TRUE,TRUE,TRUE,TRUE,TRUE
COG0111,Phosphoglycerate dehydrogenase and related dehydrogenases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0112,Glycine/serine hydroxymethyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0113,Delta-aminolevulinic acid dehydratase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0114,Fumarase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0115,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0116,Predicted N6-adenine-specific DNA methylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0117,Pyrimidine deaminase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0118,Glutamine amidotransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0119,Isopropylmalate/homocitrate/citramalate synthases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0120,Ribose 5-phosphate isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0121,Predicted glutamine amidotransferase,TRUE,TRUE,FALSE,TRUE,TRUE
COG0122,3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0123,"Deacetylases, including yeast histone deacetylase and acetoin utilization protein",TRUE,TRUE,FALSE,TRUE,TRUE
COG0124,Histidyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0125,Thymidylate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0126,3-phosphoglycerate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0127,Xanthosine triphosphate pyrophosphatase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0128,5-enolpyruvylshikimate-3-phosphate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0129,Dihydroxyacid dehydratase/phosphogluconate dehydratase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0130,Pseudouridine synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0131,Imidazoleglycerol-phosphate dehydratase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0132,Dethiobiotin synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0133,Tryptophan synthase beta chain,TRUE,TRUE,TRUE,TRUE,TRUE
COG0134,Indole-3-glycerol phosphate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0135,Phosphoribosylanthranilate isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0136,Aspartate-semialdehyde dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0137,Argininosuccinate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0138,AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful),TRUE,TRUE,TRUE,TRUE,TRUE
COG0139,Phosphoribosyl-AMP cyclohydrolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0140,Phosphoribosyl-ATP pyrophosphohydrolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0141,Histidinol dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0142,Geranylgeranyl pyrophosphate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0143,Methionyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0144,tRNA and rRNA cytosine-C5-methylases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0145,"N-methylhydantoinase A/acetone carboxylase, beta subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0146,"N-methylhydantoinase B/acetone carboxylase, alpha subunit",TRUE,TRUE,FALSE,TRUE,TRUE
COG0147,Anthranilate/para-aminobenzoate synthases component I,TRUE,TRUE,TRUE,TRUE,TRUE
COG0148,Enolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0149,Triosephosphate isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0150,Phosphoribosylaminoimidazole (AIR) synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0151,Phosphoribosylamine-glycine ligase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0152,Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0153,Galactokinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0154,Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0155,"Sulfite reductase, beta subunit (hemoprotein)",TRUE,TRUE,TRUE,TRUE,TRUE
COG0156,7-keto-8-aminopelargonate synthetase and related enzymes,TRUE,TRUE,TRUE,TRUE,TRUE
COG0157,Nicotinate-nucleotide pyrophosphorylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0158,"Fructose-1,6-bisphosphatase",TRUE,TRUE,FALSE,TRUE,TRUE
COG0159,Tryptophan synthase alpha chain,TRUE,TRUE,TRUE,TRUE,TRUE
COG0160,4-aminobutyrate aminotransferase and related aminotransferases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0161,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0162,Tyrosyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0163,3-polyprenyl-4-hydroxybenzoate decarboxylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0164,Ribonuclease HII,TRUE,TRUE,TRUE,TRUE,TRUE
COG0165,Argininosuccinate lyase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0166,Glucose-6-phosphate isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0167,Dihydroorotate dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0168,"Trk-type K+ transport systems, membrane components",TRUE,TRUE,TRUE,TRUE,TRUE
COG0169,Shikimate 5-dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0170,Dolichol kinase,TRUE,FALSE,FALSE,TRUE,TRUE
COG0171,NAD synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0172,Seryl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0173,Aspartyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0174,Glutamine synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0175,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes,TRUE,TRUE,TRUE,TRUE,TRUE
COG0176,Transaldolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0177,Predicted EndoIII-related endonuclease,TRUE,TRUE,TRUE,TRUE,TRUE
COG0178,Excinuclease ATPase subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0179,"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)",TRUE,TRUE,TRUE,TRUE,TRUE
COG0180,Tryptophanyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0181,Porphobilinogen deaminase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0182,"Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family",TRUE,TRUE,TRUE,TRUE,TRUE
COG0183,Acetyl-CoA acetyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0184,Ribosomal protein S15P/S13E,TRUE,TRUE,TRUE,TRUE,TRUE
COG0185,Ribosomal protein S19,TRUE,TRUE,TRUE,TRUE,TRUE
COG0186,Ribosomal protein S17,TRUE,TRUE,TRUE,TRUE,TRUE
COG0187,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0188,"Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0189,Glutathione synthase/Ribosomal protein S6 modification enzyme (glutaminyl transferase),TRUE,TRUE,TRUE,TRUE,TRUE
COG0190,"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase",TRUE,TRUE,TRUE,TRUE,TRUE
COG0191,Fructose/tagatose bisphosphate aldolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0192,S-adenosylmethionine synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0193,Peptidyl-tRNA hydrolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0194,Guanylate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0195,Transcription elongation factor,TRUE,TRUE,TRUE,TRUE,TRUE
COG0196,FAD synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0197,Ribosomal protein L16/L10E,TRUE,TRUE,TRUE,TRUE,TRUE
COG0198,Ribosomal protein L24,TRUE,TRUE,TRUE,TRUE,TRUE
COG0199,Ribosomal protein S14,TRUE,TRUE,TRUE,TRUE,TRUE
COG0200,Ribosomal protein L15,TRUE,TRUE,TRUE,TRUE,TRUE
COG0201,Preprotein translocase subunit SecY,TRUE,TRUE,TRUE,TRUE,TRUE
COG0202,"DNA-directed RNA polymerase, alpha subunit/40 kD subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0203,Ribosomal protein L17,TRUE,TRUE,TRUE,TRUE,TRUE
COG0204,1-acyl-sn-glycerol-3-phosphate acyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0205,6-phosphofructokinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0206,Cell division GTPase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0207,Thymidylate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0208,"Ribonucleotide reductase, beta subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0209,"Ribonucleotide reductase, alpha subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0210,Superfamily I DNA and RNA helicases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0211,Ribosomal protein L27,TRUE,TRUE,TRUE,TRUE,TRUE
COG0212,5-formyltetrahydrofolate cyclo-ligase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0213,Thymidine phosphorylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0214,Pyridoxine biosynthesis enzyme,TRUE,TRUE,TRUE,TRUE,TRUE
COG0215,Cysteinyl-tRNA synthetase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0216,Protein chain release factor A,TRUE,TRUE,TRUE,TRUE,TRUE
COG0217,Uncharacterized conserved protein,TRUE,TRUE,TRUE,TRUE,TRUE
COG0218,Predicted GTPase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0219,Predicted rRNA methylase (SpoU class),TRUE,TRUE,TRUE,TRUE,TRUE
COG0220,Predicted S-adenosylmethionine-dependent methyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0221,Inorganic pyrophosphatase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0222,Ribosomal protein L7/L12,TRUE,TRUE,TRUE,TRUE,TRUE
COG0223,Methionyl-tRNA formyltransferase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0224,"F0F1-type ATP synthase, gamma subunit",TRUE,TRUE,TRUE,TRUE,TRUE
COG0225,Peptide methionine sulfoxide reductase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0226,"ABC-type phosphate transport system, periplasmic component",TRUE,TRUE,TRUE,TRUE,TRUE
COG0227,Ribosomal protein L28,TRUE,TRUE,TRUE,TRUE,TRUE
COG0228,Ribosomal protein S16,TRUE,TRUE,TRUE,TRUE,TRUE
COG0229,Conserved domain frequently associated with peptide methionine sulfoxide reductase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0230,Ribosomal protein L34,TRUE,TRUE,TRUE,TRUE,TRUE
COG0231,Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),TRUE,TRUE,TRUE,TRUE,TRUE
COG0232,dGTP triphosphohydrolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0233,Ribosome recycling factor,TRUE,TRUE,TRUE,TRUE,TRUE
COG0234,Co-chaperonin GroES (HSP10),TRUE,TRUE,TRUE,TRUE,TRUE
COG0235,Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0236,Acyl carrier protein,TRUE,TRUE,TRUE,TRUE,TRUE
COG0237,Dephospho-CoA kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0238,Ribosomal protein S18,TRUE,TRUE,TRUE,TRUE,TRUE
COG0239,Integral membrane protein possibly involved in chromosome condensation,TRUE,TRUE,TRUE,TRUE,TRUE
COG0240,Glycerol-3-phosphate dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0241,Histidinol phosphatase and related phosphatases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0242,N-formylmethionyl-tRNA deformylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0243,"Anaerobic dehydrogenases, typically selenocysteine-containing",TRUE,TRUE,TRUE,TRUE,TRUE
COG0244,Ribosomal protein L10,TRUE,TRUE,TRUE,TRUE,TRUE
COG0245,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",TRUE,TRUE,TRUE,TRUE,TRUE
COG0246,Mannitol-1-phosphate/altronate dehydrogenases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0247,Fe-S oxidoreductase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0248,Exopolyphosphatase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0249,Mismatch repair ATPase (MutS family),TRUE,TRUE,TRUE,TRUE,TRUE
COG0250,Transcription antiterminator,TRUE,TRUE,TRUE,TRUE,TRUE
COG0251,"Putative translation initiation inhibitor, yjgF family",TRUE,TRUE,TRUE,TRUE,TRUE
COG0252,L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D,TRUE,TRUE,TRUE,TRUE,TRUE
COG0253,Diaminopimelate epimerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0254,Ribosomal protein L31,TRUE,TRUE,TRUE,TRUE,TRUE
COG0255,Ribosomal protein L29,TRUE,TRUE,TRUE,TRUE,TRUE
COG0256,Ribosomal protein L18,TRUE,TRUE,TRUE,TRUE,TRUE
COG0257,Ribosomal protein L36,TRUE,TRUE,TRUE,TRUE,TRUE
COG0258,5'-3' exonuclease (including N-terminal domain of PolI),TRUE,TRUE,TRUE,TRUE,TRUE
COG0259,Pyridoxamine-phosphate oxidase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0260,Leucyl aminopeptidase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0261,Ribosomal protein L21,TRUE,TRUE,TRUE,TRUE,TRUE
COG0262,Dihydrofolate reductase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0263,Glutamate 5-kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0264,Translation elongation factor Ts,TRUE,TRUE,TRUE,TRUE,TRUE
COG0265,"Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",TRUE,TRUE,TRUE,TRUE,TRUE
COG0266,Formamidopyrimidine-DNA glycosylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0267,Ribosomal protein L33,TRUE,TRUE,TRUE,TRUE,TRUE
COG0268,Ribosomal protein S20,TRUE,TRUE,TRUE,TRUE,TRUE
COG0269,3-hexulose-6-phosphate synthase and related proteins,TRUE,TRUE,FALSE,TRUE,TRUE
COG0270,Site-specific DNA methylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0271,Stress-induced morphogen (activity unknown),TRUE,TRUE,FALSE,TRUE,TRUE
COG0272,NAD-dependent DNA ligase (contains BRCT domain type II),TRUE,TRUE,TRUE,TRUE,TRUE
COG0274,Deoxyribose-phosphate aldolase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0275,Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis,TRUE,TRUE,TRUE,TRUE,TRUE
COG0276,Protoheme ferro-lyase (ferrochelatase),TRUE,TRUE,FALSE,TRUE,TRUE
COG0277,FAD/FMN-containing dehydrogenases,TRUE,TRUE,TRUE,TRUE,TRUE
COG0278,Glutaredoxin-related protein,TRUE,TRUE,FALSE,TRUE,TRUE
COG0279,Phosphoheptose isomerase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0280,Phosphotransacetylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0281,Malic enzyme,TRUE,TRUE,TRUE,TRUE,TRUE
COG0282,Acetate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0283,Cytidylate kinase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0284,Orotidine-5'-phosphate decarboxylase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0285,Folylpolyglutamate synthase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0286,Type I restriction-modification system methyltransferase subunit,TRUE,TRUE,TRUE,TRUE,TRUE
COG0287,Prephenate dehydrogenase,TRUE,TRUE,TRUE,TRUE,TRUE
COG0288,Carbonic anhydrase,TRUE,TRUE,TRUE,TRUE,TRUE
